request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
31,BasicRequest,1,1020,1020,2986;-1;-1,2983;-1;-1,,,,,133.855829514342,1163.3652970030207,0:t_wait:151.94718607912773;t_drive:163.85582951434208;fare:116,,,0,6,1045.3275661110908,1239.183395625433,116,0
41,BasicRequest,1,1320,1320,2968;-1;-1,2969;-1;-1,,,,,31.637641524974335,439.4116878468658,0:,,,,,,,,0
33,BasicRequest,1,1080,1080,2967;-1;-1,2985;-1;-1,,,,,260.0224157999395,2734.66777499916,0:t_wait:220.37259713002413;t_drive:290.0224157999396;fare:273,,,0,8,1085.8647695471266,1375.8871853470662,273,0
42,BasicRequest,1,1320,1320,2977;-1;-1,2984;-1;-1,,,,,46.326631425678904,386.05526188065755,0:t_wait:0;t_drive:76.3266314256789;fare:100,,,0,1,1320,1396.326631425679,100,0
32,BasicRequest,1,1080,1080,2968;-1;-1,2979;-1;-1,,,,,230.26400605497906,2772.5724880283537,0:t_wait:129.3842100991933;t_drive:260.26400605497906;fare:277,,,0,2,1209.3842100991924,1469.6482161541724,277,0
36,BasicRequest,1,1200,1200,2991;-1;-1,2975;-1;-1,,,,,246.9594921865399,2902.561795613538,0:t_wait:134.87611468093905;t_drive:276.9594921865398;fare:290,,,0,3,1218.4159100213194,1495.3754022078592,290,0
37,BasicRequest,1,1200,1200,2979;-1;-1,2990;-1;-1,,,,,216.96869144371541,1831.0588286976285,0:t_wait:0;t_drive:246.96869144371544;fare:183,,,0,4,1200.0,1446.9686914437157,183,0
35,BasicRequest,1,1140,1140,2975;-1;-1,2991;-1;-1,,,,,196.73489181346008,1899.584204386462,0:t_wait:207.72999537699616;t_drive:226.73489181346008;fare:189,,,0,5,1267.682994524071,1494.4178863375312,189,0
34,BasicRequest,1,1080,1080,2967;-1;-1,2984;-1;-1,,,,,278.3249314716273,2823.715972615483,0:t_wait:196.31049226195546;t_drive:308.3249314716272;fare:282,,,0,8,1085.8647695471266,1467.8377810187537,282,0
52,BasicRequest,1,1560,1560,2976;-1;-1,2980;-1;-1,,,,,218.71001463500278,1779.1452794361685,0:,,,,,,,,0
44,BasicRequest,1,1380,1380,2985;-1;-1,2973;-1;-1,,,,,75.71814732417145,1051.6409350579368,0:t_wait:77.75857475413954;t_drive:105.71814732417147;fare:105,,,0.0,1.0,1471.2355214682766,1576.9536687924478,105.0,0
54,BasicRequest,1,1620,1620,2966;-1;-1,2978;-1;-1,,,,,267.09514930965764,2602.981249217213,0:,,,,,,,,0
38,BasicRequest,1,1260,1260,2968;-1;-1,2980;-1;-1,,,,,169.91334574126316,1986.8272857490092,0:t_wait:171.0554511346454;t_drive:199.91334574126313;fare:198,,,0,0,1431.0554511346445,1630.9687968759085,198,0
47,BasicRequest,1,1440,1440,2979;-1;-1,2975;-1;-1,,,,,151.75974624928307,1224.9515235059305,0:t_wait:229.7353085300051;t_drive:181.75974624928313;fare:122,,,0,2,1469.6482161541724,1651.4079624034553,122,0
45,BasicRequest,1,1440,1440,2976;-1;-1,2969;-1;-1,,,,,227.2210464187139,2155.6176815340255,0:t_wait:40.54091773259984;t_drive:257.22104641871397;fare:215,,,0,6,1480.5409177325998,1737.7619641513138,215,0
39,BasicRequest,1,1320,1320,2992;-1;-1,2972;-1;-1,,,,,188.05095992337937,2128.104221158046,0:t_wait:82.22488458613793;t_drive:218.05095992337942;fare:212,,,0,7,1402.224884586138,1707.4496525095176,212,0
49,BasicRequest,1,1500,1500,2985;-1;-1,2971;-1;-1,,,,,164.6347673666765,1859.0277426936095,0:t_wait:44.90889004259793;t_drive:194.63476736667644;fare:185,,,0,8,1544.9088900425977,1739.543657409274,185,0
40,BasicRequest,1,1320,1320,2970;-1;-1,2988;-1;-1,,,,,125.1181991475778,1089.6601840862809,0:t_wait:218.99573595909806;t_drive:171.1166677190065;fare:108,,,0.0,7.0,1538.9957359590978,1740.1124036781046,108.0,0
43,BasicRequest,1,1380,1380,2971;-1;-1,2988;-1;-1,,,,,56.124238253750924,514.710509971057,0:t_wait:257.9896968529249;t_drive:102.12270682517965;fare:100,,,0.0,7.0,1637.9896968529251,1740.1124036781046,100.0,0
62,BasicRequest,1,1800,1800,2979;-1;-1,2989;-1;-1,,,,,242.72360267082513,2545.239488923543,0:,,,,,,,,0
51,BasicRequest,1,1560,1560,2984;-1;-1,2990;-1;-1,,,,,201.62318455634957,1680.1932046362463,0:t_wait:51.44517778093996;t_drive:231.62318455634954;fare:168,,,0.0,3.0,1611.44517778094,1843.0683623372897,168.0,0
63,BasicRequest,1,1860,1860,2978;-1;-1,2971;-1;-1,,,,,294.0085214268692,2450.0710118905763,0:,,,,,,,,0
46,BasicRequest,1,1440,1440,2991;-1;-1,2976;-1;-1,,,,,241.50016355996672,2179.155790392095,0:t_wait:235.3788027883436;t_drive:271.5001635599667;fare:217,,,0,4,1523.331378634172,1872.9731661941391,217,0
48,BasicRequest,1,1500,1500,2970;-1;-1,2984;-1;-1,,,,,220.45558119883816,1786.1421290379371,0:t_wait:130.78772340281353;t_drive:290.54857548455243;fare:178,,,0,4,1630.7877234028138,1921.3362988873666,178,0
50,BasicRequest,1,1560,1560,2968;-1;-1,2985;-1;-1,,,,,233.72838584208571,2369.4729144734133,0:t_wait:36.179336453706355;t_drive:263.7283858420858;fare:236,,,0,5,1596.1793364537064,1936.9535062957923,236,0
53,BasicRequest,1,1620,1620,2970;-1;-1,2975;-1;-1,,,,,196.67695541789826,2138.531028482485,0:t_wait:193.215410005821;t_drive:226.67695541789817;fare:213,,,0,5,1704.8004407686417,1977.45892418654,213,0
55,BasicRequest,1,1620,1620,2981;-1;-1,2993;-1;-1,,,,,230.33291487224398,3062.6160462581374,0:t_wait:159.41742818599232;t_drive:260.3329148722439;fare:306,,,0,0,1779.4174281859919,2039.7503430582358,306,0
61,BasicRequest,1,1800,1800,2990;-1;-1,2972;-1;-1,,,,,119.50695650951727,1049.0361952928322,0:t_wait:77.06827914707515;t_drive:149.5069565095173;fare:104,,,0,3,1843.0683623372897,1992.5753188468072,104,0
56,BasicRequest,1,1680,1680,2977;-1;-1,2980;-1;-1,,,,,188.55199336745426,1527.828435539931,0:t_wait:143.3950832075518;t_drive:218.55199336745432;fare:152,,,0,1,1823.3950832075511,2041.9470765750052,152,0
57,BasicRequest,1,1680,1680,2986;-1;-1,2966;-1;-1,,,,,310.6460860414884,2452.019953568699,0:t_wait:52.45502252994015;t_drive:340.6460860414884;fare:245,,,0,2,1732.45502252994,2073.1011085714276,245,0
58,BasicRequest,1,1740,1740,2987;-1;-1,2970;-1;-1,,,,,182.8949797248651,1680.7188240627274,0:t_wait:132.18617964772488;t_drive:212.89497972486492;fare:168,,,0,7,1836.2790350913763,2049.1740148162417,168,0
66,BasicRequest,1,1920,1920,2984;-1;-1,2989;-1;-1,,,,,160.43873578345932,1836.5458648621607,0:t_wait:179.1281723050115;t_drive:190.43873578345938;fare:183,,,0,4,1921.3362988873666,2111.775034670826,183,0
69,BasicRequest,1,2040,2040,2984;-1;-1,2976;-1;-1,,,,,13.367747306772614,111.3978942231051,0:t_wait:51.44517778093996;t_drive:43.3677473067728;fare:100,,,0,5,2091.4451777809395,2134.812925087712,100,0
59,BasicRequest,1,1740,1740,2990;-1;-1,2977;-1;-1,,,,,245.86626401797153,2048.8855334830955,0:t_wait:107.39434698217678;t_drive:275.8662640179716;fare:204,,,0,3,1843.0683623372897,2184.1314183552613,204,0
60,BasicRequest,1,1800,1800,2993;-1;-1,2975;-1;-1,,,,,269.9876786663855,2661.412004659013,0:t_wait:75.1688149700451;t_drive:299.9876786663856;fare:266,,,0,6,1875.168814970045,2175.1564936364293,266,0
67,BasicRequest,1,1980,1980,2992;-1;-1,2968;-1;-1,,,,,28.14974705802471,390.9687091392321,0:t_wait:159.29316373321308;t_drive:58.149747058024786;fare:100,,,0,8,2139.2931637332135,2197.442910791238,100,0
