sim_time,reservation_time_trigger,user_requests
0,0.0,0.0
60,0.0,0.0
120,0.0,0.0
180,0.0,0.0303
240,0.0,0.0
300,0.0,0.03246
360,0.0,0.05018
420,0.0,0.0
480,0.0,0.0
540,0.0,0.0
600,0.0,0.0
660,0.0,0.01121
720,0.0,0.0
780,0.0,0.0
840,0.0,0.02282
900,0.0,0.024050000000000002
960,0.0,0.01524
1020,0.0,0.0
1080,0.0,0.04516
1140,0.0,0.00402
1200,0.0,0.01031
1260,0.0,0.0
1320,0.0,0.00737
1380,0.0,0.0
1440,0.0,0.01878
1500,0.0,0.041210000000000004
1560,0.0,0.00617
1620,0.0,0.02195
1680,0.0,0.04661
1740,0.0,0.0
1800,0.0,0.0
1860,0.0,0.0
1920,0.0,0.0
1980,0.0,0.0
2040,0.0,0.06692000000000001
2100,0.0,0.00565
2160,0.0,0.01416
2220,0.0,0.0
2280,0.0,0.00209
2340,0.0,0.00743
2400,0.0,0.01692
2460,0.0,0.01796
2520,0.0,0.01242
2580,0.0,0.01419
2640,0.0,0.0
2700,0.0,0.01698
2760,0.0,0.00507
2820,0.0,0.0
2880,0.0,0.02962
2940,0.0,0.01214
3000,0.0,0.0103
3060,0.0,0.08185
3120,0.0,0.0
3180,0.0,0.0
3240,0.0,0.0
3300,0.0,0.02138
3360,0.0,0.01813
3420,0.0,0.02872
3480,0.0,0.0
3540,0.0,0.0
3600,0.0,0.04013
3660,0.0,0.0
3720,0.0,0.0171
3780,0.0,0.0
3840,0.0,0.03714
3900,0.0,0.0
3960,0.0,0.0
4020,0.0,0.0
4080,0.0,0.0
4140,0.0,0.0
4200,0.0,0.0
4260,0.0,0.02367
4320,0.0,0.01627
4380,0.0,0.00873
4440,0.0,0.01786
4500,0.0,0.0
4560,0.0,0.02802
4620,0.0,0.02452
4680,0.0,0.01907
4740,0.0,0.0
4800,0.0,0.0
4860,0.0,0.04032
4920,0.0,0.022400000000000003
4980,0.0,0.04158
5040,0.0,0.0
5100,0.0,0.03125
5160,0.0,0.02052
5220,0.0,0.00859
5280,0.0,0.0
5340,0.0,0.0
5400,0.0,0.05556
5460,0.0,0.02383
5520,0.0,0.04335
5580,0.0,0.07228
5640,0.0,0.0
5700,0.0,0.04984
5760,0.0,0.04741
5820,0.0,0.0
5880,0.0,0.0
5940,0.0,0.0
6000,0.0,0.0
6060,0.0,0.01649
6120,0.0,0.0
6180,0.0,0.0
6240,0.0,0.01201
6300,0.0,0.0
6360,0.0,0.0
6420,0.0,0.02794
6480,0.0,0.0
6540,0.0,0.00949
6600,0.0,0.026180000000000002
6660,0.0,0.03134
6720,0.0,0.0
6780,0.0,0.0
6840,0.0,0.02352
6900,0.0,0.02676
6960,0.0,0.0
7020,0.0,0.0
7080,0.0,0.0
7140,0.0,0.0067
