,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,0.5591825376293018,2980,69717.02916190028
1,0,1,0.9218460543986946,2983,7552.2442195416525
2,0,2,0.9604394134027865,2966,67301.54438886046
3,0,3,0.7069501754095149,2980,76750.2249520719
4,0,4,0.6816740636234911,2980,76334.17392370105
5,0,5,0.8535570470370197,2966,47878.847491294146
6,0,6,0.8545783793372049,2980,74246.67704896629
7,0,7,0.5641987138645684,2980,5471.216185092926
8,0,8,1.0,2966,42400.0
9,0,9,0.8461007855593514,2966,69466.7236276716
10,0,10,0.8392212930986445,2980,51491.4028365314
11,0,11,0.8994669260694435,2966,70673.12051483989
12,0,12,0.8394702553792146,2980,82072.71387089789
13,0,13,0.58039032397964,2980,5670.747603371739
14,0,14,0.9365165621169901,2982,7230.0
15,0,15,0.9627056439818511,2980,72095.06454443559
16,0,16,0.5509100493350957,2966,56446.394843533635
17,0,17,0.8883756117681496,2966,68581.03704763949
18,0,18,0.9017144362076207,2974,7345.456713545049
19,0,19,0.6264854082525251,2980,77476.55815304816
20,0,20,0.967938619783491,2966,68305.77361023426
21,0,21,0.8335238681340207,2980,50720.64901988208
22,0,22,0.8442550427210248,2980,75961.79935657978
23,0,23,0.8672824227039707,2980,1850.1198261976242
24,0,24,0.5914143591557383,2980,78103.92038188875
25,0,25,0.5689310826569409,2980,72246.22618591785
26,0,26,0.8865388265498835,2971,7502.393342120816
27,0,27,0.5099263340874909,2980,61960.57216967642
28,0,28,0.5549812076518829,2980,68512.20795111358
29,0,29,0.8855252637624556,2966,67306.81734968722
30,0,30,0.8575152195536966,2980,7200.0
31,0,31,0.6840981503676238,2980,12077.74348820746
32,0,32,1.0,2966,71200.0
33,0,33,0.5020838996653938,2980,4496.099097028375
34,0,34,0.5482610171846696,2980,5384.897971093655
35,0,35,0.784104530770277,2980,56590.3342962116
36,0,36,0.7723141524921925,2980,56621.69357609749
37,0,37,0.7342132447849324,2966,63336.88324408233
38,0,38,0.8083019283827528,2980,75354.92764252424
39,0,39,0.9420610755227076,2971,7475.335721549392
40,0,40,0.5477853655161018,2980,5328.0788701325655
41,0,41,0.8407687786412219,2966,67619.93305438757
42,0,42,0.8227942736897742,2980,75423.16238352656
43,0,43,0.8023104038336046,2966,65709.15839807689
44,0,44,0.5299519287775074,2980,68694.35145066679
45,0,45,0.6915793885023691,2966,60147.44218151271
46,0,46,0.5194033562428346,2980,68297.86500161886
47,0,47,0.7183380623717271,2980,79006.11268898845
48,0,48,0.7641578391645912,2980,10988.290730178356
49,0,49,0.5589554468629627,2980,14316.2854603827
