sim_time,reservation_time_trigger,user_requests,request_batch
0,0.0,0.0,0.01336
60,0.0,0.0,0.0103
120,0.0,0.0,0.01267
180,0.0,6.000000000000001e-05,0.01055
240,0.0,0.0,0.00931
300,0.0,3e-05,0.01172
360,0.0,0.00014000000000000001,0.0243
420,0.0,0.0,0.01139
480,0.0,0.0,0.01035
540,0.0,0.0,0.01293
600,0.0,0.0,0.01371
660,0.0,0.00011,0.00891
720,0.0,0.0,0.01406
780,0.0,0.0,0.01273
840,0.0,7.000000000000001e-05,0.02865
900,0.0,5e-05,0.04652
960,0.0,4e-05,0.012
1020,0.0,0.0,0.01248
1080,0.0,0.0001,0.01013
1140,0.0,3e-05,0.00935
1200,0.0,3e-05,0.0187
1260,0.0,0.0,0.01197
1320,0.0,5e-05,0.04477
1380,0.0,0.0,0.00988
1440,0.0,0.00011,0.04993
1500,0.0,0.00013000000000000002,0.0304
1560,0.0,6e-05,0.00844
1620,0.0,0.00011999999999999999,0.04924
1680,0.0,0.00014000000000000001,0.03677
1740,0.0,0.0,0.01099
1800,0.0,0.0,0.0169
1860,0.0,0.0,0.01231
1920,0.0,0.0,0.01117
1980,0.0,0.0,0.01401
2040,0.0,0.00015000000000000001,0.02896
2100,0.0,7e-05,0.01674
2160,0.0,4e-05,0.03192
2220,0.0,0.0,0.01544
2280,0.0,4e-05,0.04939
2340,0.0,4e-05,0.01253
2400,0.0,5e-05,0.06314
2460,0.0,0.0001,0.02698
2520,0.0,3e-05,0.06753
2580,0.0,4e-05,0.03843
2640,0.0,0.0,0.01239
2700,0.0,4e-05,0.01548
2760,0.0,4e-05,0.01043
2820,0.0,0.0,0.01219
2880,0.0,0.0001,0.00736
2940,0.0,3e-05,0.02868
3000,0.0,4e-05,0.02066
3060,0.0,0.00011,0.03292
3120,0.0,0.0,0.01367
3180,0.0,0.0,0.0105
3240,0.0,0.0,0.00871
3300,0.0,4e-05,0.00753
3360,0.0,4e-05,0.02618
3420,0.0,5e-05,0.03391
3480,0.0,0.0,0.02465
3540,0.0,0.0,0.0126
3600,0.0,8e-05,0.046
3660,0.0,0.0,0.01295
3720,0.0,5e-05,0.00941
3780,0.0,0.0,0.01381
3840,0.0,9e-05,0.05949
3900,0.0,0.0,0.01346
3960,0.0,0.0,0.01444
4020,0.0,0.0,0.01227
4080,0.0,0.0,0.01687
4140,0.0,0.0,0.01175
4200,0.0,0.0,0.01293
4260,0.0,0.0001,0.02757
4320,0.0,7.000000000000001e-05,0.03628
4380,0.0,3e-05,0.03094
4440,0.0,7.000000000000001e-05,0.04703
4500,0.0,0.0,0.01538
4560,0.0,6e-05,0.04377
4620,0.0,9e-05,0.0438
4680,0.0,3e-05,0.05056
4740,0.0,0.0,0.03437
4800,0.0,0.0,0.02945
4860,0.0,7e-05,0.02877
4920,0.0,5e-05,0.02241
4980,0.0,8.999999999999999e-05,0.04489
5040,0.0,0.0,0.03069
5100,0.0,3e-05,0.04669
5160,0.0,3e-05,0.0151
5220,0.0,3e-05,0.03705
5280,0.0,0.0,0.01348
5340,0.0,0.0,0.01942
5400,0.0,0.00013000000000000002,0.01573
5460,0.0,7.000000000000001e-05,0.04249
5520,0.0,0.00017,0.09827
5580,0.0,8e-05,0.07752
5640,0.0,0.0,0.01416
5700,0.0,8.999999999999999e-05,0.0339
5760,0.0,3e-05,0.03603
5820,0.0,0.0,0.0193
5880,0.0,0.0,0.01456
5940,0.0,0.0,0.01434
6000,0.0,0.0,0.01521
6060,0.0,0.0001,0.02507
6120,0.0,0.0,0.01717
6180,0.0,0.0,0.00751
6240,0.0,7e-05,0.0102
6300,0.0,0.0,0.01345
6360,0.0,0.0,0.01427
6420,0.0,0.00011,0.03643
6480,0.0,0.0,0.00998
6540,0.0,0.0001,0.02712
6600,0.0,0.00011,0.02624
6660,0.0,8.999999999999999e-05,0.04482
6720,0.0,0.0,0.01716
6780,0.0,0.0,0.01051
6840,0.0,8.999999999999999e-05,0.0248
6900,0.0,0.00014000000000000001,0.03197
6960,0.0,0.0,0.01246
7020,0.0,0.0,0.01152
7080,0.0,0.0,0.01184
7140,0.0,9e-05,0.02302
