request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
53,PreferredOperatorRequest,1,3840,3840,2990;-1;-1,2981;-1;-1,,,,,207.20330926693822,2611.7286438911515,0:t_wait:145.49295690862436;t_drive:237.20330926693805;fare:261;willing:True|1:t_wait:77.06827914707537;t_drive:237.20330926693805;fare:261;willing:True,,,0,4,3985.4929569086257,4222.696266175564,261,0
51,PreferredOperatorRequest,1,3840,3840,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:t_wait:269.56299811891404;t_drive:308.9138289902776;fare:263;willing:True|1:t_wait:223.83969358587137;t_drive:308.91382899027803;fare:263;willing:True,,,0,3,4109.562998118913,4434.47529568062,263,0
56,PreferredOperatorRequest,1,4320,4320,2979;-1;-1,2975;-1;-1,,,,,151.75974624928307,1224.9515235059305,0:t_wait:36.17924043220319;t_drive:181.75974624928313;fare:122;willing:True|1:t_wait:55.419871780626636;t_drive:181.75974624928313;fare:122;willing:True,,,1,4,4375.419871780624,4557.17961802991,122,0
54,PreferredOperatorRequest,1,4260,4260,2977;-1;-1,2992;-1;-1,,,,,290.68994856816636,2881.77744065169,0:t_wait:0;t_drive:320.6899485681661;fare:288;willing:True|1:t_wait:79.67189809945648;t_drive:320.6899485681661;fare:288;willing:True,,,0,1,4260.0,4580.689948568164,288,0
55,PreferredOperatorRequest,1,4320,4320,2972;-1;-1,2991;-1;-1,,,,,134.87611468093908,1408.086703901932,0:t_wait:81.81254451203313;t_drive:194.87611468093928;fare:140;willing:True|1:t_wait:0;t_drive:164.87611468093928;fare:140;willing:True,,,0,3,4401.812544512032,4596.688659192969,140,0
57,PreferredOperatorRequest,1,4380,4380,2983;-1;-1,2966;-1;-1,,,,,323.34893081286066,2424.2986565656774,0:t_wait:47.50530195645024;t_drive:353.348930812861;fare:242;willing:True|1:t_wait:190.16580050830544;t_drive:353.348930812861;fare:242;willing:True,,,0,2,4427.505301956449,4780.854232769311,242,0
58,PreferredOperatorRequest,1,4440,4440,2981;-1;-1,2971;-1;-1,,,,,283.9604755859867,2389.323696549888,0:t_wait:0;t_drive:313.9604755859864;fare:238;willing:True|1:t_wait:255.3602839198502;t_drive:313.9604755859864;fare:238;willing:True,,,0,4,4440.0,4753.960475585988,238,0
60,PreferredOperatorRequest,1,4560,4560,2973;-1;-1,2969;-1;-1,,,,,172.5497643587172,1931.331838315517,0:t_wait:297.86395954348245;t_drive:202.54976435871686;fare:193;willing:True|1:t_wait:34.44352830090247;t_drive:202.54976435871686;fare:193;willing:True,,,0,0,4678.54365132417,4881.093415682886,193,0
59,PreferredOperatorRequest,1,4440,4440,2990;-1;-1,2981;-1;-1,,,,,207.20330926693822,2611.7286438911515,0:t_wait:191.88228651375175;t_drive:237.20330926693805;fare:261;willing:True|1:t_wait:7.381840040901807;t_drive:237.20330926693805;fare:261;willing:True,,,0,3,4736.7939240025125,4973.9972332694515,261,0
62,PreferredOperatorRequest,1,4620,4620,2991;-1;-1,2987;-1;-1,,,,,221.9190199009194,2598.4939430683253,0:t_wait:287.39144192351887;t_drive:251.919019900919;fare:259;willing:True|1:t_wait:53.744527231358006;t_drive:251.919019900919;fare:259;willing:True,,,1,3,4673.744527231358,4925.663547132275,259,0
61,PreferredOperatorRequest,1,4620,4620,2979;-1;-1,2983;-1;-1,,,,,95.53311017582425,796.109251465202,0:t_wait:258.4137531130036;t_drive:125.53311017582382;fare:100;willing:True|1:t_wait:144.35990632214543;t_drive:125.53311017582382;fare:100;willing:True,,,0,1,4878.4137531130045,5003.946863288826,100,0
64,PreferredOperatorRequest,1,4860,4860,2966;-1;-1,2992;-1;-1,,,,,131.62933504116845,1285.4828948015352,0:t_wait:0;t_drive:161.62933504116882;fare:128;willing:True|1:t_wait:158.42488667311773;t_drive:161.62933504116882;fare:128;willing:True,,,0,2,4860.0,5021.629335041171,128,0
63,PreferredOperatorRequest,1,4680,4680,2989;-1;-1,2967;-1;-1,,,,,195.59465388777056,1983.0931625223561,0:t_wait:152.5603253887457;t_drive:225.59465388777062;fare:198;willing:True|1:t_wait:40.18079471759211;t_drive:225.59465388777062;fare:198;willing:True,,,0,4,4832.560325388745,5058.154979276511,198,0
67,PreferredOperatorRequest,1,4980,4980,2987;-1;-1,2984;-1;-1,,,,,127.4257940665604,1389.2919531006646,0:t_wait:194.37727964809255;t_drive:157.42579406656023;fare:138;willing:True|1:t_wait:0;t_drive:157.42579406656023;fare:138;willing:True,,,0,1,5174.377279648094,5331.8030737146555,138,0
68,PreferredOperatorRequest,1,4980,4980,2986;-1;-1,2992;-1;-1,,,,,225.37832508265683,2665.0618483702337,0:t_wait:237.1754463343441;t_drive:255.37832508265637;fare:266;willing:True|1:t_wait:100.24480784067691;t_drive:255.37832508265728;fare:266;willing:True,,,1,3,5080.244807840679,5335.623132923331,266,0
66,PreferredOperatorRequest,1,4920,4920,2979;-1;-1,2993;-1;-1,,,,,232.48349158289759,3080.5375188469175,0:t_wait:214.5239931130045;t_drive:262.48349158289784;fare:308;willing:True|1:t_wait:144.35990632214543;t_drive:262.48349158289784;fare:308;willing:True,,,1,4,5064.359906322145,5326.8433979050415,308,0
69,PreferredOperatorRequest,1,5100,5100,2968;-1;-1,2981;-1;-1,,,,,194.08476562277556,2596.441960617133,0:t_wait:26.294029957854036;t_drive:224.0847656227752;fare:259;willing:True|1:t_wait:28.14974705802433;t_drive:224.0847656227752;fare:259;willing:True,,,0,4,5126.294029957855,5350.378795580632,259,0
70,PreferredOperatorRequest,1,5160,5160,2989;-1;-1,2977;-1;-1,,,,,200.30021679086175,2168.7248732571807,0:t_wait:148.291518057973;t_drive:230.30021679086167;fare:216;willing:True|1:t_wait:40.18079471759211;t_drive:230.30021679086167;fare:216;willing:True,,,1,2,5200.180794717592,5430.481011508455,216,0
65,PreferredOperatorRequest,1,4920,4920,2980;-1;-1,2972;-1;-1,,,,,344.7104419812344,2999.8842262698045,0:t_wait:184.56617338793876;t_drive:374.710441981234;fare:299;willing:True|1:t_wait:188.67634200842986;t_drive:374.710441981234;fare:299;willing:True,,,0.0,3.0,5104.56617338794,5479.276615369177,299.0,0
80,PreferredOperatorRequest,1,5520,5520,2978;-1;-1,2993;-1;-1,,,,,269.9089527131265,3392.4163615988246,0:|1:t_wait:18.888026916537456;t_drive:348.68165671312636;fare:339;willing:True,5520.0,,,,,,,0
81,PreferredOperatorRequest,1,5580,5580,2984;-1;-1,2969;-1;-1,,,,,208.85791372548653,2002.5915757571302,0:|1:t_wait:179.1281723050115;t_drive:238.85791372548647;fare:200;willing:True,5580,,,,,,,0
71,PreferredOperatorRequest,1,5220,5220,2985;-1;-1,2967;-1;-1,,,,,251.88232020006052,2621.804225000841,0:t_wait:186.71196375725322;t_drive:281.88232020006035;fare:262;willing:True|1:t_wait:186.57127949046662;t_drive:281.88232020006035;fare:262;willing:True,,,0,1,5406.711963757253,5688.594283957315,262,0
75,PreferredOperatorRequest,1,5460,5460,2984;-1;-1,2986;-1;-1,,,,,65.6179280598307,674.3513304007989,0:t_wait:133.26973817671205;t_drive:95.61792805983077;fare:100;willing:True|1:t_wait:179.1281723050115;t_drive:95.61792805983077;fare:100;willing:True,,,0,4,5593.26973817671,5688.887666236541,100,0
73,PreferredOperatorRequest,1,5400,5400,2978;-1;-1,2969;-1;-1,,,,,213.5128417430813,2609.1370425704195,0:t_wait:79.08939415911755;t_drive:243.51284174308148;fare:260;willing:True|1:t_wait:108.88802691653837;t_drive:243.51284174308148;fare:260;willing:True,,,1,2,5508.8880269165375,5752.400868659618,260,0
72,PreferredOperatorRequest,1,5400,5400,2967;-1;-1,2981;-1;-1,,,,,220.37879558062934,2961.6368211428808,0:t_wait:37.01732852874193;t_drive:250.37879558062923;fare:296;willing:True|1:t_wait:5.864769547126343;t_drive:250.37879558062923;fare:296;willing:True,,,1,4,5405.864769547126,5703.052973127757,296,0
78,PreferredOperatorRequest,1,5520,5520,2970;-1;-1,2980;-1;-1,,,,,190.4137294263278,2063.6293026972103,0:t_wait:46.98346278996087;t_drive:220.41372942632825;fare:206;willing:True|1:t_wait:114.47030196331616;t_drive:220.41372942632734;fare:206;willing:True,,,0,0,5566.983462789962,5787.397192216291,206,0
77,PreferredOperatorRequest,1,5520,5520,2986;-1;-1,2971;-1;-1,,,,,143.9257293494437,1571.4022146764878,0:t_wait:112.4872304225355;t_drive:173.92572934944383;fare:157;willing:True|1:t_wait:151.94718607912728;t_drive:173.92572934944383;fare:157;willing:True,,,0,3,5632.4872304225355,5806.412959771976,157,0
83,PreferredOperatorRequest,1,5580,5580,2975;-1;-1,2976;-1;-1,,,,,43.17503937342681,359.7919947785567,0:t_wait:28.223038867478863;t_drive:73.17503937342644;fare:100;willing:True|1:t_wait:127.68299452407155;t_drive:73.17503937342644;fare:100;willing:True,,,1,1,5707.682994524072,5780.858033897499,100,0
74,PreferredOperatorRequest,1,5460,5460,2969;-1;-1,2979;-1;-1,,,,,215.43577253000473,2566.624800181488,0:t_wait:0;t_drive:245.43577253000512;fare:256;willing:True|1:t_wait:33.79644102995553;t_drive:275.4357725300042;fare:256;willing:True,,,1,4,5493.796441029955,5769.232213559959,256,0
86,PreferredOperatorRequest,1,5760,5760,2969;-1;-1,2990;-1;-1,,,,,79.63238283086302,728.142628879116,0:t_wait:276.61546058300155;t_drive:114.36530283086267;fare:100;willing:True|1:t_wait:22.400868659618027;t_drive:109.63238283086321;fare:100;willing:True,,,1,2,5782.400868659618,5892.033251490482,100,0
79,PreferredOperatorRequest,1,5520,5520,2978;-1;-1,2975;-1;-1,,,,,159.65721537951202,1267.7773662578381,0:t_wait:281.2506428399174;t_drive:189.6572153795123;fare:126;willing:True|1:t_wait:247.42003057313104;t_drive:189.6572153795123;fare:126;willing:True,,,0,2,5801.250642839921,5990.907858219435,126,0
76,PreferredOperatorRequest,1,5460,5460,2984;-1;-1,2992;-1;-1,,,,,244.36331714248752,2495.7221787710323,0:t_wait:133.26973817671205;t_drive:350.99625314248806;fare:249;willing:True|1:t_wait:179.1281723050115;t_drive:274.3633171424872;fare:249;willing:True,,,0,4,5593.26973817671,5944.265991319193,249,0
