request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
140802,BasicRequest,1,28980.0,28980.0,21841;-1;-1,7580;-1;-1,,,,,0.8179199,6.816,0:,,,,,,,,0
138932,BasicRequest,1,28980.0,28980.0,6773;-1;-1,23043;-1;-1,,,,,229.05506389000004,2908.031,0:,,,,,,,,0
139766,BasicRequest,1,28980.0,28980.0,14355;-1;-1,6869;-1;-1,,,,,163.52954388999996,1677.7869999999998,0:,,,,,,,,0
141577,BasicRequest,1,28980.0,28980.0,8476;-1;-1,21993;-1;-1,,,,,36.34271989,302.856,0:,,,,,,,,0
137605,BasicRequest,1,28980.0,28980.0,7166;-1;-1,21981;-1;-1,,,,,111.66148789,1343.402,0:,,,,,,,,0
141015,BasicRequest,1,28980.0,28980.0,2539;-1;-1,7291;-1;-1,,,,,102.21803989,851.817,0:,,,,,,,,0
111132,BasicRequest,1,28500.0,28500.0,8043;-1;-1,6651;-1;-1,,,,,150.10739989,1250.895,0:t_wait:170.6056660657523;t_drive:333.92134241714666;fare:0,,,0.0,1.0,28670.605666285755,29004.527009142905,0.0,0
109328,BasicRequest,1,28500.0,28500.0,7168;-1;-1,7200;-1;-1,,,,,87.19339189000002,733.9,0:t_wait:299.67576984576226;t_drive:117.19339188999948;fare:0,,,0.0,2.0,28799.675770285758,28993.881846857188,0.0,0
112543,BasicRequest,1,28560.0,28560.0,22056;-1;-1,7458;-1;-1,,,,,70.6716856042857,972.645,0:t_wait:299.95260470290305;t_drive:100.671685604284;fare:0,,,0.0,3.0,28859.952605142924,28995.209484000075,0.0,0
143431,BasicRequest,1,29040.0,29040.0,7719;-1;-1,22029;-1;-1,,,,,50.479439889999995,420.66200000000003,0:,,,,,,,,0
143327,BasicRequest,1,29040.0,29040.0,7202;-1;-1,21803;-1;-1,,,,,144.60095988999998,1205.0079999999998,0:,,,,,,,,0
148504,BasicRequest,1,29040.0,29040.0,6677;-1;-1,6659;-1;-1,,,,,9.37739989,78.145,0:,,,,,,,,0
146875,BasicRequest,1,29040.0,29040.0,7092;-1;-1,21929;-1;-1,,,,,226.01663989000002,2121.374,0:,,,,,,,,0
