,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,0.6881639981435547,2992,7353.328477264287
1,0,1,0.8542480830860752,2980,7200.0
2,0,2,0.9118545173174558,2984,7427.7462243475165
3,0,3,0.7599539537234882,2987,7343.1881034132675
4,0,4,0.8190224683857066,2989,7200.573025960172
5,0,5,0.9314361527873223,2978,7200.0
6,0,6,0.5398231541926647,2973,7259.136694853568
7,0,7,0.7697216775581037,2968,7422.1744064750255
8,0,8,0.8955776820971958,2966,7200.0
9,0,9,0.9590692502608226,2967,7200.0
10,0,10,0.9423013350618229,2982,7450.310875618093
11,0,11,0.886863383460459,2984,7200.0
