time,event,station_id,ch_op_id,vid,op_id,veh_type,current_soc,socket_id,socket_power,initial_soc,transferred_power,connection_duration
1689.2808442592118,detach,0,op_0,1,0,low_range_vehtype,0.681,0,15,0.174,2.5364451832549193,608.7468439811805
1893.8029158694762,detach,2,0,2,0,low_range_vehtype,0.726,2,15,-0.039,3.825530982270848,918.1274357450033
2665.206356025473,detach,2,0,4,0,low_range_vehtype,0.977,2,15,0.334,3.2141810006499876,771.4034401559966
2936.9723219212365,detach,0,op_0,0,0,low_range_vehtype,1.0,0,15,-0.04,5.198714490258437,1247.6914776620247
3351.810101415491,detach,2,0,3,0,low_range_vehtype,1.0,0,7.5,0.286,3.569018678844213,1713.128965845222
3777.6469075045825,detach,0,op_0,2,0,low_range_vehtype,1.0,0,15,0.299,3.5028107732639406,840.674585583346
3837.167017771817,detach,2,0,1,0,low_range_vehtype,1.0,2,15,0.023,4.883169423943101,1171.9606617463442
4718.0307063527425,detach,2,0,0,0,low_range_vehtype,0.74,2,15,0.161,2.8977113814649194,695.4507315515802
5006.10337829478,detach,0,op_0,4,0,low_range_vehtype,1.0,0,15,-0.024,5.118568628292487,1228.4564707901973
5590.874064387753,detach,2,0,3,0,low_range_vehtype,0.809,2,15,0.082,3.6368473251458773,872.8433580350102
5740.871055435963,detach,0,op_0,1,0,low_range_vehtype,0.808,0,15,0.196,3.0615319880882645,734.7676771411834
6473.520015435964,detach,0,op_0,0,0,low_range_vehtype,0.681,0,15,0.071,3.052704000000002,732.6489600000004
6552.824137685677,detach,2,0,2,0,low_range_vehtype,1.0,2,15,0.198,4.008125305408019,961.9500732979241
7196.044277389037,detach,2,0,3,0,low_range_vehtype,0.692,2,15,0.156,2.680083915430665,643.2201397033596
7577.082855435964,detach,0,op_0,4,0,low_range_vehtype,1.0,0,15,0.08,4.598178500000001,1103.5628400000005
8280.393920247854,detach,2,0,1,0,low_range_vehtype,1.0,2,15,0.096,4.518123511911735,1084.3496428588169
8470.44706002295,detach,3,0,2,0,low_range_vehtype,1.0,0,7.5,0.47,2.652389421328039,1273.146922237459
8606.933563884384,detach,0,op_0,0,0,low_range_vehtype,1.0,0,15,0.142,4.2910446185350795,1029.85070844842
