,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,0.5591825376293018,2980,69717.02916190028
1,0,1,0.8351585417917138,2980,50351.62216177583
2,0,2,0.9667605024138172,2980,71997.74794206768
3,0,3,0.7069501754095149,2980,76750.2249520719
4,0,4,0.6816740636234911,2980,76334.17392370105
5,0,5,0.8535570470370197,2966,47878.847491294146
6,0,6,0.8544216169651486,2972,7444.5639171876655
7,0,7,0.5641987138645684,2980,5471.216185092926
8,0,8,1.0,2966,42400.0
9,0,9,0.8461007855593514,2966,69466.7236276716
10,0,10,0.8960566192876123,2966,67093.02154573798
11,0,11,0.8994669260694435,2966,70673.12051483989
12,0,12,0.8394702553792146,2980,82072.71387089789
13,0,13,0.58039032397964,2980,5670.747603371739
14,0,14,0.959772590918862,2974,7345.456713545049
15,0,15,0.9622849614708204,2966,65965.70097719133
16,0,16,0.5509100493350957,2966,56446.394843533635
17,0,17,0.9316761566791797,2980,72899.77223969996
18,0,18,0.8574141884994926,2980,73392.28442808986
19,0,19,0.6264854082525251,2980,77476.55815304816
20,0,20,0.9669940554940116,2992,7230.0
21,0,21,0.8733095211093828,2971,7424.335826896074
22,0,22,0.8442550427210248,2980,75334.43712775409
23,0,23,0.8197824227039717,2980,75079.39577880502
24,0,24,0.5914143591557383,2980,78103.92038188875
25,0,25,0.5689310826569409,2980,72246.22618591785
26,0,26,0.9270703420372867,2983,7475.838948775256
27,0,27,0.5099263340874909,2980,61960.57216967642
28,0,28,0.5549812076518829,2980,68512.20795111358
29,0,29,0.8843610130075442,2971,7524.416437439494
30,0,30,0.8575152195536966,2980,7200.0
31,0,31,0.6840981503676238,2980,12077.74348820746
32,0,32,1.0,2966,71200.0
33,0,33,0.5020838996653938,2980,4496.099097028375
34,0,34,0.5482610171846696,2980,5384.897971093655
35,0,35,0.784104530770277,2980,56590.3342962116
36,0,36,0.7723141524921925,2980,56621.69357609749
37,0,37,0.7342132447849324,2966,63336.88324408233
38,0,38,0.8083019283827528,2980,52113.46758970618
39,0,39,0.9460233950159619,2966,67020.74080555141
40,0,40,0.5477853655161018,2980,5328.0788701325655
41,0,41,0.8407687786412219,2966,67619.93305438757
42,0,42,0.8227942736897742,2980,4057.835402533412
43,0,43,0.8023104038336046,2966,65709.15839807689
44,0,44,0.5299519287775074,2980,68694.35145066679
45,0,45,0.6915793885023691,2966,60147.44218151271
46,0,46,0.5194033562428346,2980,68297.86500161886
47,0,47,0.7183380623717271,2980,79006.11268898845
48,0,48,0.7641578391645912,2980,10988.290730178356
49,0,49,0.555556417351931,2966,72294.0637973249
