operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,2,default_vehtype,route,False,4566.180471310084,4715.789640848716,2981;-1;-1,2975;-1;-1,1207.0300509171504,0.8414912506247041,0.8413705476196124,0.0,,0,56;58,2,,,2981;6320;3549;6384;4032;1804;4277;5239;6501;3911;5389;7301;3914;5398;5400;4040;4041;5374;5418;5424;5403;6546;1200;7312;3767;4527;3089;3131;5447;7352;414;122;3426;4305;793;118;3979;4275;3068;70;73;4273;880;3109;3874;2975,2981:4566.180471310084;6320:4569.553590164229;3549:4575.190830164229;6384:4575.452670164229;4032:4578.674310164229;1804:4579.590222164229;4277:4581.1783021642295;5239:4586.68294216423;6501:4592.64550216423;3911:4602.00034216423;5389:4603.06618216423;7301:4603.32010216423;3914:4604.50378216423;5398:4605.68062216423;5400:4607.00722216423;4040:4616.31202216423;4041:4619.25634216423;5374:4623.50890216423;5418:4624.546182164229;5424:4624.68946216423;5403:4625.794782164229;6546:4630.021662164229;1200:4634.63074216423;7312:4636.12450216423;3767:4638.13090216423;4527:4640.92774216423;3089:4649.33734216423;3131:4649.81758216423;5447:4652.20522216423;7352:4653.5165821642295;414:4655.9863021642295;122:4668.34066216423;3426:4669.59418216423;4305:4670.99650216423;793:4683.11206216423;118:4688.97634216423;3979:4690.82688616423;4275:4691.41822216423;3068:4696.162507878516;70:4698.4485078785165;73:4700.7345078785165;4273:4705.4787935928025;880:4706.070129592803;3109:4707.920673592803;3874:4713.784953592803;2975:4715.789640848716
0,4,default_vehtype,route,False,4620.0,4698.905732335828,4248;5046;0.340,2991;-1;-1,917.6745420728605,0.9422110576881828,0.9421192902339756,0.0,,0,54,1,,,4248;5046;7138;6879;1367;3637;3640;3643;7179;5275;5297;5072;1464;2847;5825;4587;5794;3202;2065;2023;4203;537;2991,4248:4620;5046:4630.791913266455;7138:4632.430513266455;6879:4638.696913266455;1367:4650.189793266455;3637:4652.082913266455;3640:4652.936041266455;3643:4653.999625266455;7179:4657.578025266455;5275:4662.087313266456;5297:4665.466129266456;5072:4665.696385266456;1464:4672.636897266456;2847:4673.707609266456;5825:4676.606257266456;4587:4678.886569266456;5794:4680.506713266456;3202:4684.628065266456;2065:4689.772321266456;2023:4695.330649266456;4203:4696.131433266456;537:4697.085433266456;2991:4698.905732335828
0,4,default_vehtype,boarding,True,4698.905732335828,4728.905732335828,2991;-1;-1,2991;-1;-1,0.0,0.9421192902339756,0.9421192902339756,0.0,,0,54;62,2,62,,,
0,2,default_vehtype,boarding,True,4715.789640848716,4745.789640848716,2975;-1;-1,2975;-1;-1,0.0,0.8413705476196124,0.8413705476196124,0.0,,0,56;58,2,,56,,
0,4,default_vehtype,route,False,4728.905732335828,4764.767929731508,2991;-1;-1,2992;-1;-1,498.08607494002206,0.9421192902339756,0.9420694816264816,0.0,,0,54;62,2,,,2991;3010;5631;1068;2559;6740;1717;2067;2063;1937;2992,2991:4728.905732335828;3010:4732.953001266455;5631:4738.802425266455;1068:4741.354825266455;2559:4748.405425266455;6740:4752.876049266454;1717:4758.709777266454;2067:4759.447561266454;2063:4760.163817266453;1937:4763.433769266453;2992:4764.767929731508
0,4,default_vehtype,boarding,True,4764.767929731508,4794.767929731508,2992;-1;-1,2992;-1;-1,0.0,0.9420694816264816,0.9420694816264816,0.0,,0,54;62,2,,54,,
0,0,default_vehtype,route,False,4637.127340662169,4830.30732228213,2991;-1;-1,2973;-1;-1,2199.3406336106036,0.999410063106983,0.9991901290436218,0.0,,0,,0,,,2991;3010;5631;1068;2867;2760;542;1074;1071;1070;1069;1067;1504;4396;710;2281;4664;6260;3300;1832;708;6180;2405;6169;2744;2567;2576;3077;3241;88;2758;2742;2448;2353;6140;7386;3742;7100;6318;737;6639;2446;2301;1992;1990;1988;1985;3729;5498;5496;5699;5494;6307;374;7114;3246;5330;661;445;6080;7381;364;3029;3886;5711;6045;2157;4817;456;5901;7605;2830;1420;1084;2973,2991:4637.127340662169;3010:4641.1746095927965;5631:4647.0240335927965;1068:4649.576433592796;2867:4650.450729592796;2760:4656.989265592796;542:4664.517369592796;1074:4665.450777592796;1071:4666.453305592796;1070:4680.916593592796;1069:4681.654881592795;1067:4684.3169375927955;1504:4688.770713592796;4396:4688.997009592796;710:4689.547665592796;2281:4690.553361592796;4664:4694.431353592796;6260:4694.877249592796;3300:4695.476361592796;1832:4698.266577592796;708:4698.805641592796;6180:4699.229073592795;2405:4701.451473592795;6169:4704.928593592795;2744:4709.5291535927945;2567:4711.372113592794;2576:4719.860673592794;3077:4721.993313592794;3241:4725.122193592794;88:4727.049033592794;2758:4729.012473592795;2742:4729.4189135927945;2448:4732.604553592794;2353:4738.8054335927945;6140:4743.976473592795;7386:4745.318913592795;3742:4752.977913592795;7100:4753.517553592795;6318:4753.995633592795;737:4754.9113535927945;6639:4756.760553592794;2446:4758.331833592794;2301:4760.628873592795;1992:4761.653913592795;1990:4763.350833592795;1988:4765.804833592795;1985:4769.326593592795;3729:4771.674033592794;5498:4773.071433592794;5496:4775.978673592794;5699:4776.676113592794;5494:4777.779873592794;6307:4777.996713592794;374:4786.297713592794;7114:4788.512721592794;3246:4789.6505375927945;5330:4790.398113592794;661:4791.389553592794;445:4794.419241592794;6080:4797.242649592794;7381:4797.651537592794;364:4798.086921592794;3029:4800.111129592794;3886:4800.609153592794;5711:4803.1487375927945;6045:4804.543017592795;2157:4808.731545592795;4817:4809.208329592795;456:4809.823209592795;5901:4810.578777592795;7605:4814.050473592794;2830:4814.2798655927945;1420:4825.984977592794;1084:4829.519961592794;2973:4830.30732228213
0,1,default_vehtype,route,False,4609.419771413864,4816.623080680803,2990;-1;-1,2981;-1;-1,2611.7286438911515,0.9003534060505985,0.9000922331862095,0.0,,0,59,1,,,2990;2552;4848;3271;4846;4989;5000;337;1075;5648;5759;205;5793;1407;5826;7411;4686;5074;5295;5274;7181;604;603;602;3851;4573;1400;971;598;1368;591;585;940;1370;939;1903;983;3921;840;2881;5099;2878;1735;2581;370;361;2874;1887;4059;910;6541;3462;3648;2851;2850;1801;1560;5242;922;6385;3550;2981,2990:4609.419771413864;2552:4612.285487534947;4848:4619.765807534946;3271:4625.318927534946;4846:4627.192007534946;4989:4639.464527534947;5000:4644.224087534947;337:4651.984319534947;1075:4653.008159534947;5648:4653.808943534947;5759:4659.367271534947;205:4664.511527534946;5793:4668.632879534946;1407:4670.253023534947;5826:4672.533335534947;7411:4675.431983534947;4686:4676.502695534947;5074:4683.443207534947;5295:4683.673463534947;5274:4687.052279534947;7181:4691.561567534947;604:4695.139967534948;603:4696.203551534948;602:4697.056679534948;3851:4698.060071534947;4573:4702.366391534947;1400:4704.099071534947;971:4707.897503534947;598:4708.964759534947;1368:4709.925095534947;591:4715.796047534947;585:4728.967295534947;940:4735.547159534947;1370:4742.573783534947;939:4743.270455534947;1903:4744.092047534948;983:4745.074559534947;3921:4748.8727035349475;840:4753.433543534948;2881:4760.064167534948;5099:4761.217031534948;2878:4762.345055534947;1735:4773.329375534947;2581:4774.668791534947;370:4776.251639534947;361:4778.748743534947;2874:4779.334751534947;1887:4784.990135534947;4059:4786.909439534947;910:4791.425639534947;6541:4792.089767534947;3462:4794.303407534947;3648:4794.633167534947;2851:4799.307407534947;2850:4800.240767534947;1801:4803.536447534947;1560:4808.276927534947;5242:4809.959567534947;922:4810.875479534948;6385:4814.0971195349475;3550:4814.358959534948;2981:4816.623080680803
0,1,default_vehtype,boarding,True,4816.623080680803,4846.623080680803,2981;-1;-1,2981;-1;-1,0.0,0.9000922331862095,0.9000922331862095,0.0,,0,59,1,,59,,
0,0,default_vehtype,boarding,True,4830.30732228213,4860.30732228213,2973;-1;-1,2973;-1;-1,0.0,0.9991901290436218,0.9991901290436218,0.0,,0,60,1,60,,,
