request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
14,BrokerDecisionRequest,1,1200,1200,2975;-1;-1,2981;-1;-1,,,,,108.18066588994196,924.4919490828495,0:t_wait:75.9806162856205;t_drive:138.18066588994202;fare:92;add_fleet_vmt:1936.0618016280623;chosen_by_broker:False|1:t_wait:70.06202256657639;t_drive:138.18066588994202;fare:92;add_fleet_vmt:1853.859111085784;chosen_by_broker:True,,,1,0,1270.062022566576,1408.242688456518,92,0
12,BrokerDecisionRequest,1,1080,1080,2992;-1;-1,2980;-1;-1,,,,,198.06309279928786,2377.7959948882412,0:t_wait:181.61629531920016;t_drive:228.06309279928792;fare:237;add_fleet_vmt:2774.173146274756;chosen_by_broker:True|1:t_wait:217.6905634285713;t_drive:228.06309279928792;fare:237;add_fleet_vmt:4246.98611861093;chosen_by_broker:False,,,0,1,1261.6162953191995,1489.679388118488,237,0
15,BrokerDecisionRequest,1,1320,1320,2993;-1;-1,2969;-1;-1,,,,,63.79644102995483,886.0616809715947,0:t_wait:112.05207065293325;t_drive:93.79644102995485;fare:88;add_fleet_vmt:1674.29647192612;chosen_by_broker:True|1:t_wait:188.9662684610778;t_drive:93.79644102995485;fare:88;add_fleet_vmt:3045.400520708786;chosen_by_broker:False,,,0,4,1432.052070652933,1525.8485116828876,88,0
16,BrokerDecisionRequest,1,1440,1440,2977;-1;-1,2979;-1;-1,,,,,85.83247653831305,715.2706378192755,0:t_wait:132.58664960817623;t_drive:115.83247653831313;fare:71;add_fleet_vmt:1708.8525274112199;chosen_by_broker:False|1:t_wait:43.52576857432109;t_drive:115.83247653831313;fare:71;add_fleet_vmt:1077.9853759386178;chosen_by_broker:True,,,1,3,1483.525768574321,1599.3582451126342,71,0
20,BrokerDecisionRequest,1,1560,1560,2981;-1;-1,2979;-1;-1,,,,,36.17924043220354,176.13052741122,0:t_wait:0;t_drive:66.17924043220364;fare:17;add_fleet_vmt:176.13052741122;chosen_by_broker:True|1:t_wait:0;t_drive:66.17924043220364;fare:17;add_fleet_vmt:176.13052741122;chosen_by_broker:False,,,0,0,1560,1626.1792404322039,17,0
19,BrokerDecisionRequest,1,1500,1500,2989;-1;-1,2975;-1;-1,,,,,126.96715614988648,1557.6160345823869,0:t_wait:37.51804354900537;t_drive:156.96715614988648;fare:155;add_fleet_vmt:1923.938844396204;chosen_by_broker:False|1:t_wait:37.51804354900537;t_drive:156.96715614988648;fare:155;add_fleet_vmt:4.547473508864641e-13;chosen_by_broker:True,,,1,1,1537.5180435490054,1694.4851996988916,155,0
18,BrokerDecisionRequest,1,1500,1500,2989;-1;-1,2977;-1;-1,,,,,200.30021679086175,2168.7248732571807,0:t_wait:37.51804354900537;t_drive:230.30021679086167;fare:216;add_fleet_vmt:2535.0476830709977;chosen_by_broker:False|1:t_wait:37.51804354900537;t_drive:230.30021679086167;fare:216;add_fleet_vmt:2535.0476830709977;chosen_by_broker:True,,,1,1,1537.5180435490054,1797.8182603398668,216,0
21,BrokerDecisionRequest,1,1620,1620,2978;-1;-1,2979;-1;-1,,,,,37.42546113022892,311.87884275190765,0:t_wait:114.32073930197475;t_drive:67.425461130229;fare:31;add_fleet_vmt:963.0580000000001;chosen_by_broker:True|1:t_wait:79.08939415911755;t_drive:67.425461130229;fare:31;add_fleet_vmt:993.94352741122;chosen_by_broker:False,,,0,0,1734.3207393019748,1801.7462004322038,31,0
17,BrokerDecisionRequest,1,1500,1500,2984;-1;-1,2972;-1;-1,,,,,166.20078449443824,1890.1043999290782,0:t_wait:133.26973817671228;t_drive:196.20078449443827;fare:189;add_fleet_vmt:3000.68555140168;chosen_by_broker:False|1:t_wait:133.26973817671228;t_drive:196.20078449443827;fare:189;add_fleet_vmt:3000.68555140168;chosen_by_broker:True,,,1,0,1633.2697381767123,1829.4705226711499,189,0
22,BrokerDecisionRequest,1,1620,1620,2985;-1;-1,2982;-1;-1,,,,,129.65668328940987,1095.1193087163879,0:t_wait:134.86890125201535;t_drive:159.65668328940978;fare:109;add_fleet_vmt:2197.76306420073;chosen_by_broker:False|1:t_wait:125.04318021931022;t_drive:159.65668328940978;fare:109;add_fleet_vmt:2172.6172625726667;chosen_by_broker:True,,,1,4,1745.0431802193098,1904.6998635087193,109,0
