operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,2,low_range_vehtype,to_charge,True,744.7663087957105,975.6754801244725,2973;-1;-1,2993;-1;-1,2741.8791573439216,0.2348938035458306,-0.03929411218856159,0.0,,0,,0,,,2973;7354;4225;4614;7369;7607;5900;3459;4818;5992;6047;5708;3884;3030;3347;7376;2207;3446;3720;5332;251;2711;3358;2296;5495;5697;5497;5500;670;5502;5512;5520;5531;6313;6632;6644;3793;6319;7102;3741;7384;6414;5446;2447;2571;42;2577;2566;3033;3036;2469;2404;2235;3762;5287;310;2280;1447;6261;3764;4397;4745;4182;4187;4191;4195;4202;4208;537;18;5629;1068;2559;6740;1717;2067;2063;1937;6789;3895;5465;7450;2993,2973:744.7663087957105;7354:748.5634761063741;4225:753.1480041063741;4614:756.6829881063741;7369:768.388100106374;7607:768.617492106374;5900:772.089188106374;3459:772.844756106374;4818:773.459636106374;5992:773.9364201063739;6047:778.124948106374;5708:779.5192281063739;3884:782.0588121063739;3030:782.5568361063739;3347:784.581044106374;7376:785.016428106374;2207:785.425316106374;3446:788.248724106374;3720:791.2784121063739;5332:792.269852106374;251:793.0174281063739;2711:794.155244106374;3358:796.370252106374;2296:804.671252106374;5495:804.8880921063741;5697:805.991852106374;5497:806.6892921063741;5500:809.5965321063741;670:810.993932106374;5502:813.341372106374;5512:816.863132106374;5520:819.317132106374;5531:821.0140521063739;6313:822.0390921063739;6632:824.336132106374;6644:825.907412106374;3793:827.756612106374;6319:828.6723321063739;7102:829.1504121063739;3741:829.6900521063739;7384:837.3490521063738;6414:842.5562121063739;5446:844.8239721063738;2447:848.7600921063738;2571:856.3490121063738;42:861.0170121063738;2577:861.6894921063738;2566:870.2885721063737;3033:870.9195321063737;3036:873.1890921063737;2469:876.7814121063736;2404:880.1049321063737;2235:881.3883321063737;3762:881.8117641063737;5287:882.3508281063738;310:885.1410441063738;2280:885.7401561063738;1447:886.1860521063737;6261:890.0640441063737;3764:891.0697401063736;4397:891.6203961063736;4745:891.8466921063737;4182:896.3004681063736;4187:898.9625241063736;4191:899.7008121063736;4195:914.1641001063737;4202:915.1666281063737;4208:916.1482761063736;537:917.1022761063736;18:922.9698441063736;5629:928.8192681063736;1068:931.3716681063736;2559:938.4222681063736;6740:942.8928921063737;1717:948.7266201063736;2067:949.4644041063736;2063:950.1806601063737;1937:953.4506121063737;6789:963.9870201063737;3895:965.2540041063737;5465:972.7859241063737;7450:973.7701641063737;2993:975.6754801244725
0,2,low_range_vehtype,waiting,False,975.6754801244725,975.675480124473,2993;-1;-1,2993;-1;-1,0.0,-0.03929411218856159,-0.03929411218856159,0.0,,0,,0,,,,
0,3,low_range_vehtype,route,False,900.0,991.5022874490586,2978;-1;-1,2977;-1;-1,651.2122049326322,0.9458865003910399,0.8807652798977766,0.0,,0,,0,,,2978;4103;4326;7286;1218;7334;7010;820;7498;276;2915;2661;7517;6201;7314;7529;7535;2931;2929;2927;2802;2977,2978:900;4103:902.6189566950277;4326:907.9101166950277;7286:908.8270366950277;1218:909.9502366950277;7334:917.5313566950277;7010:920.4388366950277;820:922.4197966950277;7498:922.8877966950276;276:922.9993966950276;2915:934.3453966950276;2661:941.5787566950276;7517:948.8907166950275;6201:949.7518366950276;7314:956.6471566950275;7529:963.8626366950275;7535:968.9221795521704;2931:972.573608123599;2929:976.2250366950276;2927:981.2845795521705;2802:988.5000595521705;2977:991.5022874490586
0,3,low_range_vehtype,boarding,True,991.5022874490586,1021.5022874490586,2977;-1;-1,2977;-1;-1,0.0,0.8807652798977766,0.8807652798977766,0,,0,8;10,2,8;10,,,
0,0,low_range_vehtype,route,True,840.0,1103.9932146529338,2985;-1;-1,2993;-1;-1,2790.011092401858,0.7456689501068947,0.4666678408667089,0.0,,0,,0,,,2985;1140;880;3109;3874;4306;429;3125;3406;2825;1944;130;99;4526;714;2800;4332;799;3653;3825;7127;1836;4248;5046;7138;6879;1367;3637;3640;3643;7179;5275;5297;5072;1464;2847;5825;4587;5794;3202;2065;2023;4203;537;18;5629;1068;2559;6740;1717;2067;2063;1937;6789;3895;5465;7450;2993,2985:840;1140:840.194570634835;880:840.785906634835;3109:842.636450634835;3874:848.500730634835;4306:860.616290634835;429:862.018610634835;3125:863.272130634835;3406:875.626490634835;2825:878.0962106348351;1944:879.4075706348351;130:881.7952106348351;99:882.2754506348351;4526:890.6850506348351;714:893.481890634835;2800:895.488290634835;4332:896.3039306348351;799:897.4848506348351;3653:902.081090634835;3825:903.3296906348351;7127:946.889810634835;1836:948.240770634835;4248:962.785970634835;5046:979.126490634835;7138:980.765090634835;6879:987.031490634835;1367:998.524370634835;3637:1000.417490634835;3640:1001.2706186348349;3643:1002.3342026348349;7179:1005.9126026348349;5275:1010.4218906348349;5297:1013.8007066348349;5072:1014.030962634835;1464:1020.971474634835;2847:1022.0421866348349;5825:1024.940834634835;4587:1027.2211466348351;5794:1028.841290634835;3202:1032.962642634835;2065:1038.106898634835;2023:1043.665226634835;4203:1044.4660106348351;537:1045.420010634835;18:1051.287578634835;5629:1057.137002634835;1068:1059.689402634835;2559:1066.740002634835;6740:1071.210626634835;1717:1077.0443546348351;2067:1077.782138634835;2063:1078.498394634835;1937:1081.768346634835;6789:1092.304754634835;3895:1093.5717386348351;5465:1101.103658634835;7450:1102.087898634835;2993:1103.9932146529338
0,0,low_range_vehtype,boarding,True,1103.9932146529338,1133.9932146529338,2993;-1;-1,2993;-1;-1,0.0,0.4666678408667089,0.4666678408667089,0.0,,0,6,1,6,,,
0,1,low_range_vehtype,to_charge,True,746.6029978244372,1080.5340002780306,2987;-1;-1,2966;-1;-1,3186.7902370701618,0.49271096334901615,0.17403193964199992,0.0,,0,,0,,,2987;4613;7368;7606;5900;3459;4818;5992;6047;5708;3884;3030;3347;7376;2207;3446;3720;5332;251;2711;3358;2296;5495;5697;5497;5500;670;5502;5512;5520;5531;6313;6632;6644;3793;6319;7102;3741;7384;6414;5446;2447;2571;42;2577;2566;3033;3036;2469;2404;2235;3762;5287;310;2280;1447;6261;3764;4397;4745;4182;4187;4191;4195;4202;4208;5653;5764;205;5793;1407;5826;7411;4686;5074;5295;5274;7181;604;603;602;1339;1395;1399;835;1147;1093;2607;911;1150;665;666;1885;668;1415;1041;1623;1383;2333;2966,2987:746.6029978244372;4613:748.1992468541448;7368:759.9043588541448;7606:760.1337508541448;5900:763.6054468541447;3459:764.3610148541447;4818:764.9758948541447;5992:765.4526788541447;6047:769.6412068541447;5708:771.0354868541447;3884:773.5750708541447;3030:774.0730948541446;3347:776.0973028541447;7376:776.5326868541447;2207:776.9415748541447;3446:779.7649828541447;3720:782.7946708541447;5332:783.7861108541447;251:784.5336868541447;2711:785.6715028541447;3358:787.8865108541447;2296:796.1875108541448;5495:796.4043508541448;5697:797.5081108541448;5497:798.2055508541448;5500:801.1127908541448;670:802.5101908541448;5502:804.8576308541448;5512:808.3793908541447;5520:810.8333908541447;5531:812.5303108541447;6313:813.5553508541446;6632:815.8523908541447;6644:817.4236708541447;3793:819.2728708541447;6319:820.1885908541446;7102:820.6666708541446;3741:821.2063108541446;7384:828.8653108541446;6414:834.0724708541446;5446:836.3402308541446;2447:840.2763508541445;2571:847.8652708541446;42:852.5332708541446;2577:853.2057508541445;2566:861.8048308541445;3033:862.4357908541444;3036:864.7053508541444;2469:868.2976708541444;2404:871.6211908541444;2235:872.9045908541444;3762:873.3280228541445;5287:873.8670868541445;310:876.6573028541445;2280:877.2564148541445;1447:877.7023108541445;6261:881.5803028541444;3764:882.5859988541443;4397:883.1366548541444;4745:883.3629508541444;4182:887.8167268541443;4187:890.4787828541444;4191:891.2170708541444;4195:905.6803588541444;4202:906.6828868541444;4208:907.6645348541443;5653:908.4653188541444;5764:914.0236468541443;205:919.1679028541444;5793:923.2892548541444;1407:924.9093988541443;5826:927.1897108541443;7411:930.0883588541443;4686:931.1590708541443;5074:938.0995828541443;5295:938.3298388541443;5274:941.7086548541444;7181:946.2179428541443;604:949.7963428541443;603:950.8599268541443;602:951.7130548541443;1339:952.7054308541443;1395:961.2427588541443;1399:963.3834628541443;835:966.9604228541443;1147:967.7529988541444;1093:969.0122788541444;2607:977.0709508541444;911:979.9248148541444;1150:980.6852788541444;665:982.1351428541444;666:983.0042548541444;1885:983.9900788541444;668:997.3604788541444;1415:997.9895428541444;1041:1014.6760571398587;1623:1019.0593142827158;1383:1030.1447428541444;2333:1070.29862856843;2966:1080.5340002780306
0,1,low_range_vehtype,waiting,False,1080.5340002780306,1080.5340002780313,2966;-1;-1,2966;-1;-1,0.0,0.17403193964199992,0.17403193964199992,0.0,,0,,0,,,,
0,3,low_range_vehtype,route,False,1021.5022874490586,1133.446846934568,2977;-1;-1,2986;-1;-1,1060.4065922814566,0.8807652798977766,0.774724620669631,0.0,,0,8;10,2,,,2977;6202;7315;7530;2803;7558;2806;4344;2996;3013;7322;2804;3061;1173;3425;4304;793;118;3979;4275;103;6480;7360;2986,2977:1021.5022874490586;6202:1025.3953795521704;7315:1032.2906995521705;7530:1039.5061795521706;2803:1047.0611395521705;7558:1054.4561395521705;2806:1062.2899795521705;4344:1063.4929795521705;2996:1065.5364595521705;3013:1070.3215795521705;7322:1074.3322195521705;2804:1077.6589795521704;3061:1084.3270195521704;1173:1089.9253795521704;3425:1091.1083395521705;4304:1092.5106595521704;793:1104.6262195521704;118:1110.4904995521704;3979:1112.3410435521703;4275:1112.9323795521702;103:1114.0753075521702;6480:1127.39703555217;7360:1132.8989155521701;2986:1133.446846934568
0,4,low_range_vehtype,route,True,840.0,1120.0016795881152,2980;-1;-1,2966;-1;-1,1989.2821103102237,0.5085047852425274,0.309576574211505,0.0,,0,,0,,,2980;914;2135;1730;2664;2579;2961;2407;2581;370;361;2874;1887;1805;363;366;2314;2877;1748;2880;906;984;2268;1857;1806;1371;938;5442;4054;2205;1369;2047;1337;1873;1939;665;666;1885;668;1415;1041;1623;1383;2333;2966,2980:840;914:855.8821707356576;2135:863.8330278785147;1730:879.2893707356576;2664:881.1114850213719;2579:885.9874278785147;2961:902.7582850213719;2407:908.0070850213718;2581:916.494342164229;370:918.077190164229;361:920.5742941642291;2874:921.160302164229;1887:926.8156861642291;1805:927.846366164229;363:934.755054164229;366:936.160134164229;2314:937.305006164229;2877:950.476110164229;1748:951.594630164229;2880:952.756422164229;906:964.981734164229;984:967.751430164229;2268:968.499294164229;1857:968.8852141642291;1806:969.5473981642291;1371:970.2175741642291;938:972.7987021642291;5442:982.5193501642291;4054:990.1593421642291;2205:995.9117821642291;1369:1002.357942164229;2047:1003.300998164229;1337:1004.262342164229;1873:1020.739758164229;1939:1021.080750164229;665:1021.602822164229;666:1022.471934164229;1885:1023.457758164229;668:1036.8281581642289;1415:1037.4572221642288;1041:1054.1437364499432;1623:1058.5269935928004;1383:1069.612422164229;2333:1109.7663078785147;2966:1120.0016795881152
