time,event,station_id,ch_op_id,vid,op_id,veh_type,current_soc,socket_id,socket_power,initial_soc,transferred_power,connection_duration
1689.2808442592118,detach,0,op_0,1,0,low_range_vehtype,0.681,0,15,0.174,2.5364451832549193,608.7468439811805
1893.8029158694762,detach,2,0,2,0,low_range_vehtype,0.726,2,15,-0.039,3.825530982270848,918.1274357450033
2829.003716025473,detach,2,0,4,0,low_range_vehtype,0.977,2,15,0.198,3.896670000649988,935.2008001559966
2936.9723219212365,detach,0,op_0,0,0,low_range_vehtype,1.0,0,15,-0.04,5.198714490258437,1247.6914776620247
3351.810101415491,detach,2,0,3,0,low_range_vehtype,1.0,0,7.5,0.286,3.569018678844213,1713.128965845222
4128.538537771818,detach,2,0,1,0,low_range_vehtype,1.0,2,15,-0.083,5.4147284239431,1299.5348217463443
4230.298404703419,detach,0,op_0,2,0,low_range_vehtype,1.0,0,15,-0.042,5.209625773263942,1250.310185583346
5281.223841859939,detach,2,0,4,0,low_range_vehtype,1.0,2,15,0.039,4.802855433700506,1152.6853040881215
5463.8423647034215,detach,0,op_0,0,0,low_range_vehtype,1.0,0,15,-0.028,5.1397665,1233.54396
6192.84884185994,detach,2,0,3,0,low_range_vehtype,1.0,2,15,0.24,3.7984375000000004,911.625
6397.998604109087,detach,3,0,1,0,low_range_vehtype,1.0,0,7.5,0.351,3.243887421328039,1557.0659622374587
6627.286884703423,detach,0,op_0,2,0,low_range_vehtype,1.0,0,15,0.03,4.847685500000001,1163.44452
7029.437841859941,detach,2,0,4,0,low_range_vehtype,1.0,2,15,0.303,3.4857874999999994,836.5889999999999
7481.473884703425,detach,0,op_0,0,0,low_range_vehtype,1.0,0,15,0.288,3.5591125000000003,854.1869999999999
8146.7305298417705,detach,0,op_0,3,0,low_range_vehtype,0.681,0,15,0.159,2.611288076056879,626.709138253651
8725.163838890549,detach,2,0,1,0,low_range_vehtype,1.0,2,15,0.017,4.917194578671961,1180.1266988812713
9231.714969841772,detach,0,op_0,2,0,low_range_vehtype,1.0,0,15,0.096,4.520768500000001,1084.9844400000002
