time,event,station_id,ch_op_id,vid,op_id,veh_type,current_soc,socket_id,socket_power,initial_soc,transferred_power,connection_duration
1845.2948005756411,detach,2,0,1,0,low_range_vehtype,0.726,2,15,0.061,3.32523852852606,798.0572468462542
2208.5305014583973,detach,0,op_0,2,0,low_range_vehtype,0.865,0,15,0.222,3.214181000649987,771.4034401559966
3216.025179120424,detach,0,op_0,3,0,low_range_vehtype,1.0,0,15,0.16,4.197894490258437,1007.494677662025
3204.308763498252,detach,2,0,4,0,low_range_vehtype,1.0,2,15,-0.133,5.662558178844213,1359.013962922611
3378.3541299106205,detach,0,op_0,2,0,low_range_vehtype,1.0,0,15,0.865,0.6763706282924875,162.3289507901968
3600,detach,1,op_0,1,0,low_range_vehtype,0.632,0,7.5,0.207,2.1250000000000018,1020
4662.80139492515,detach,2,0,4,0,low_range_vehtype,0.867,2,15,0.294,2.8654119880882534,687.6988771411807
5278.078675909324,detach,2,0,0,0,low_range_vehtype,0.694,2,15,0.181,2.563655337434061,615.2772809841745
5407.792152753425,detach,0,op_0,1,0,low_range_vehtype,0.808,0,15,0.035,3.865316066760209,927.6758560224498
6067.111731136807,detach,0,op_0,3,0,low_range_vehtype,0.809,0,15,0.259,2.747164909930758,659.3195783833817
6194.97666920725,detach,2,0,2,0,low_range_vehtype,1.0,2,15,0.236,3.820408305408019,916.8979932979246
6838.559864694341,detach,3,0,4,0,low_range_vehtype,1.0,0,7.5,0.323,3.384981933239785,1624.7913279550967
7048.420303389861,detach,0,op_0,0,0,low_range_vehtype,1.0,0,15,0.182,4.088785717721052,981.3085722530523
7514.493672647337,detach,1,op_0,1,0,low_range_vehtype,1.0,0,7.5,0.344,3.280195151348618,1574.493672647337
7825.871828023102,detach,2,0,3,0,low_range_vehtype,0.802,2,15,0.113,3.4472836047952464,827.3480651508589
8529.145358290196,detach,0,op_0,2,0,low_range_vehtype,1.0,0,15,0.159,4.204683194591981,1009.1239667020764
8965.265846904373,detach,2,0,4,0,low_range_vehtype,1.0,2,15,0.051,4.747475078671962,1139.3940188812703
